Bus Name,Bus Number,Route,All Stoppage,Stoppage Time,Up Time,Down Time,AlternateName,Agency Name,Bus Type,Contact Number,Alternate Number,Depot Name,Destination
PEKHAM,WB33D3955,PEKHAM - J,,,,,ALPANA,,Private - NON AC,8116963788,8597564164,Jhilimili,Digha
NILACHAL,WB11C3680,NILACHAL - D,,,,,,,Private - NON AC,,,Durgapur (Station),Purulia
SIXER,WB55B7112,SIXER - D,,,,,,,Private - NON AC,9547128773,9732230393,Durgapur (Station),Tatanagar
MAJHI BABA,WB33B1863,MAJHI BABA - S,,,,,,,Private - NON AC,,,Sarenga,Medinipur
MAJHI BABA,WB33B1863,MAJHI BABA - S,,,,,,,Private - NON AC,,,Sarenga,Medinipur
SBSTC,J,SBSTC - J,,,,,,,Government - NON AC,,,Jhargram,Durgapur (Station)
KANDARI,WB41F9293,KANDARI - B,,,,,,,Private - NON AC,,,Bardhaman,Baharampur
SBSTC,WB39B4712,SBSTC - P,,,,,Jhumur Express,South Bengal State Transport Corporation,Government - NON AC,7699993928,7699993952,Purulia,Kolkata (Esplaned)
LAXMI PRIYA,WB33A2338,LAXMI PRIYA - B,,,,,,,Private - NON AC,,,Bishnupur,Medinipur
ASHIRVAD,WB41K1521,ASHIRVAD - K,,,,,AYESHA,,Private - NON AC,9564308078,,Kotulpur,Nabadwip
ISHIKA,WB41K2500,ISHIKA - C,,,,,,,Private - AC,7699995927,9749437344,Chittaranjan,Digha
SWEETY,WB19F8865,SWEETY - K,,,,,,,Private - NON AC,7047289189,,Krishnanagar,Benachity
MAA LAXMI,WB67A5683,MAA LAXMI - M,,,,,,,Private - NON AC,,,Madanmohanpur,Asansol
NARAYANI,WB55,NARAYANI - B,,,,,,,Private - NON AC,,,Bishnupur,Purulia
JOY BABA KHETRAPAL,WB33C8448,JOY BABA KHETRAPAL - P,,,,,,JOY BABA KHETRAPAL TRAVELS,Private - NON AC,6294427149,,Patharpara,Durgapur (Station)
KALI SHANKAR,WB55B5711,KALI SHANKAR - R,,,,,,,Private - NON AC,9046113191,,Ranchi,Tatanagar
MAINAK,WB519592,MAINAK - K,,,,,BEAUTY,,Private - NON AC,9434231156,,Krishnanagar,Bolpur
