Bus Name,Bus Number,Route,All Stoppage,Stoppage Time,Up Time,Down Time,AlternateName,Agency Name,Bus Type,Contact Number,Alternate Number,Depot Name,Destination
AMIT,WB41H2900,AMIT - B,,,,,TARA MAA,,Private - NON AC,,,Bankura,Bardhaman
MAA KALYANI,WB55B0815,MAA KALYANI - B,,,,,,,Private - NON AC,,,Bandwan,Purulia
TAJ,WB33B8949,TAJ - R,,,,,,,Private - NON AC,8337803395,,Ramjibanpur,Howrah
SBSTC,D,SBSTC - D,,,,,,South Bengal State Transport Corporation,Government - NON AC,7699993948,,Durgapur (City Center),Tatanagar
MAMANI,WB17N3929,MAMANI - G,,,,,,MAMANI TRAVELS,Private - NON AC,9933175180,,Garerghat,Kolkata (Esplaned)
PUSPANJALI,WB33C3674,PUSPANJALI - C,,,,,,,Private - NON AC,8670505350,,Chandrakona Road,Kolkata
BABA LOKENATH,WB490756,BABA LOKENATH - K,,,,,ADI,,Private - NON AC,9800033633,,Kankrajhore,Medinipur
SRI KRISHNA,WB33F3444,SRI KRISHNA - K,,,,,JOY MAA TARA,,Private - NON AC,,,Khatra,Medinipur
TITHY,WB67D7337,TITHY - B,,,,,,,Private - NON AC,,,Bardhaman,Chandrakona Town
PUSHPASHREE,WB55B7451,PUSHPASHREE - P,,,,,,,Private - NON AC,,,Purulia,Bishnupur
K.G.N.,WB29A8176, - H,,,,,,,Private - NON AC,,,Howrah,Egra
SUPARNA,WB318394,SUPARNA - P,,,,,,,Private - NON AC,9732961021,9832055729,Pratap Dighi,Tarkeshwar
MAA PARUL,WB679467,MAA PARUL - B,,,,,,,Private - NON AC,,,Bankura,Khatra
MAA PARUL,WB679467,MAA PARUL - B,,,,,,,Private - NON AC,,,Bankura,Baidyanathpur
RAGHUNATH JIU,WB67A9472,RAGHUNATH JIU - J,,,,,,,Private - NON AC,,,Jhargram,Bankura
SAHIN,WB41E3768,SAHIN - B,,,,,,SAHIN TRAVELS,Private - NON AC,6297961870,,Bardhaman,Kharagpur
PATHER SATHI,WB39B6351,PATHER SATHI - M,,,,,,MOHANTA TRAVELS,Private - NON AC,7001320905,,Mecheda,Bardhaman
SURYA,WB11C7532,SURYA - L,,,,,RADHA KRISHNA,SURYA TRAVELS,Private - NON AC,,,Lodda,Kenjakura
RUMI RIK,WB41D9781,RUMI RIK - K,,,,,,SUDHA TRAVELS,Private - NON AC,9163716476,9732523412,Karimpur,Bardhaman
